clave,fecha,tipo_acuerdo,tema,descripcion_cmf,url
2025_0545,2025-08-19,Modificación NCG,,"EJECUTA ACUERDO DEL CONSEJO DE LA COMISIÓN PARA EL MERCADO FINANCIERO QUE MODIFICA LA NORMA DE CARÁCTER GENERAL N°526 QUE DICTA INSTRUCCIONES RESPECTO A LA FORMA DE DETERMINAR EL PATRIMONIO MÍNIMO Y GARANTÍAS QUE DEBEN MANTENER LAS ADMINISTRADORAS GENERALES DE FONDOS Y ADMINISTRADORAS DE CARTERA, DEROGA NCG N°157, Y LA EXCLUYE DE LOS TRÁMITES PREVISTOS EN EL INCISO PRIMERO DEL NUMERAL 3 DEL ARTÍCULO 20 DEL DECRETO LEY N°3.538 DE 1980.",https://www.cmfchile.cl/normativa/ncg_545_2025.pdf
2024_0527,2024-12-23,Otro,,MODIFICA NORMA DE CARÁCTER GENERAL N°507 QUE IMPARTE INSTRUCCIONES SOBRE GOBIERNO CORPORATIVO Y GESTIÓN INTEGRAL DE RIESGOS EN ADMINISTRADORAS GENERALES DE FONDOS Y NORMA DE CARÁCTER GENERAL N°468 QUE REGULA EL PROCESO DE AUTORIZACIÓN DE INICIO DE FUNCIONES DE ADMINISTRADORAS GENERALES DE FONDOS.,https://www.cmfchile.cl/normativa/ncg_527_2024.pdf
2024_0526,2024-12-23,Otro,,EJECUTA ACUERDO DEL CONSEJO DE LA COMISIÓN PARA EL MERCADO FINANCIERO QUE APRUEBA NORMA DE CARÁCTER GENERAL QUE IMPARTE INSTRUCCIONES SOBRE CÁLCULO DE PATRIMONIO MÍNIMO Y GARANTÍAS PARA ADMINISTRADORAS GENERALES DE FONDOS Y ADMINISTRADORAS DE CARTERA. DEROGA NCG N°157.,https://www.cmfchile.cl/normativa/ncg_526_2024.pdf
2024_0510,2024-05-08,Modificación NCG,"IMPARTE INSTRUCCIONES SOBRE GESTIÓN DE RIESGO OPERACIONAL. DEROGA CIRCULARES N° 1.939 y 2.020, Y LA NORMA DE CARÁCTER GENERAL N° 256. MODIFICA LA NORMA DE CARÁCTER GENERAL N° 480","EJECUTA ACUERDO DEL CONSEJO DE LA COMISIÓN PARA EL MERCADO FINANCIERO QUE APRUEBA NORMATIVA QUE IMPARTE INSTRUCCIONES SOBRE GESTIÓN DE RIESGO OPERACIONAL PARA ADMINISTRADORAS GENERALES DE FONDOS, BOLSAS DE VALORES, BOLSAS DE PRODUCTOS, SOCIEDADES ADMINISTRADORAS DE SISTEMAS DE COMPENSACIÓN Y LIQUIDACIÓN DE INSTRUMENTOS FINANCIEROS Y EMPRESAS DE DEPÓSITO Y CUSTODIA DE VALORES. DEROGA CIRCULARES N°1.939 y 2.020 Y LA NORMA DE CARÁCTER GENERAL N°256. MODIFICA LA NORMA DE CARÁCTER GENERAL N°480.",https://www.cmfchile.cl/normativa/ncg_510_2024.pdf
2024_0507,2024-05-08,Otro,,"EJECUTA ACUERDO DEL CONSEJO DE LA COMISIÓN PARA EL MERCADO FINANCIERO QUE APRUEBA NORMATIVA QUE IMPARTE INSTRUCCIONES SOBRE GOBIERNO CORPORATIVO Y GESTIÓN DE RIESGOS PARA ADMINISTRADORAS GENERALES DE FONDOS, Y DEROGA LA CIRCULAR N°1.869 DE 2008.",https://www.cmfchile.cl/normativa/ncg_507_2024.pdf
2011_2047,2011-01-01,Otro,,"ESTABLECE REQUISITOS PARA LA INVERSION DE FONDOS MUTUOS EN LOS INSTRUMENTOS QUE INDICA.
DEROGA CIRCULAR N° 1.516 DE 2001",https://www.cmfchile.cl/normativa/cir_2047_2011.pdf
2011_2032,2011-01-01,Otro,,IMPARTE INSTRUCCIONES RELATIVAS A INFORMACION A LOS PARTICIPES SOBRE MODIFICACIONES QUE SE INCORPOREN EN LOS REGLAMENTOS INTERNOS Y CONTRATOS DE SUSCRIPCION DE CUOTAS DE FONDO MUTUOS.  DEROGA CIRCULAR N° 1.740 DE 2005,https://www.cmfchile.cl/normativa/cir_2032_2011.pdf
2011_0661,2011-01-01,Otro,,"IMPARTE INSTRUCCIONES RELATIVAS A LA INCORPORACION DE NOTAS ESTRUCTURADAS, FONDOS DE INVERSION PUBLICOS O PRIVADOS QUE TENGAN COMO UNICO ACTIVO SUBYACENTE LAS MENCIONADAS ESTRUCTURAS Y CUALQUIER OTRO ACTIVO QUE TENGA COMO SUBYACENTE INSTRUMENTOS ESTRUCTURADOS  DE LOS ANTES MENCIONADOS EN LA MEDICION DE CALCE Y TSA SEGUN CIRCULAR N° 1512 DE 02/01/2011 Y NORMA DE CARACTER GENERAL N° 209 DE 24/12/2007. DEROGA OFICIO CIRCULAR N° 570 DE 17/02/2010.",https://www.cmfchile.cl/normativa/ofc_661_2011.pdf
2011_0308,2011-01-01,Otro,,"IMPARTE INSTRUCCIONES SOBRE LAS CONDICIONES E INFORMACION MINIMA QUE DEBEN CUMPLIR LAS INVERSIONES DE LOS FONDOS MUTUOS.
DEROGA CIRCULAR N° 1.217 DE 29.05.1995 Y SUS MODIFICACIONES",https://www.cmfchile.cl/normativa/ncg_308_2011.pdf
2010_1999,2010-01-01,Otro,,IMPARTE INSTRUCCIONES SOBRE PRESENTACION DE INFORMACION FINANCIERA BAJO IFRS PARA FONDOS DE INVERSION DE CAPITAL EXTRANJERO. DEROGA CIRCULAR N° 923 DEL 23 DE ENERO DE 1990.,https://www.cmfchile.cl/normativa/cir_1999_2010.pdf
