clave,fecha,tipo_acuerdo,tema,descripcion_cmf,url
2026_0564,2026-04-20,Modificación NCG,MODIFICA NORMA DE CARÁCTER GENERAL N°550,"EJECUTA ACUERDO DEL CONSEJO DE LA COMISIÓN PARA EL MERCADO FINANCIERO QUE MODIFICA LA NORMA DE CARÁCTER GENERAL N°550, POSTERGANDO SU VIGENCIA Y EXIME DE LOS TRÁMITES DEL INCISO 1 DEL N°3 DEL ARTÍCULO 20 DEL D.L. N°3.538 DE 1980.",https://www.cmfchile.cl/normativa/ncg_564_2026.pdf
2026_0563,2026-04-20,Modificación NCG,MODIFICA NORMA DE CARÁCTER GENERAL N°549,"EJECUTA ACUERDO DEL CONSEJO DE LA COMISIÓN PARA EL MERCADO FINANCIERO QUE MODIFICA LA NORMA DE CARÁCTER GENERAL N°549, POSTERGANDO SU VIGENCIA Y EXIME DE LOS TRÁMITES DEL INCISO 1 DEL N°3 DEL ARTÍCULO 20 DEL D.L. N°3.538 DE 1980.",https://www.cmfchile.cl/normativa/ncg_563_2026.pdf
2026_0562,2026-04-20,Nueva Normativa,"ESTABLECE NORMA SOBRE REQUISITOS DE PATRIMONIO MÍNIMO, GARANTÍAS, LIQUIDEZ Y ENDEUDAMIENTO PARA INTERMEDIARIOS DE VALORES Y CORREDORES DE BOLSA DE PRODUCTOS. DEROGA NORMA DE CARACTER GENERAL N°18, CIRCULAR N°632 Y CIRCULAR N°695","EJECUTA ACUERDO DEL CONSEJO DE LA COMISIÓN PARA EL MERCADO FINANCIERO QUE APRUEBA NUEVA NORMATIVA QUE IMPARTE INSTRUCCIONES SOBRE PATRIMONIO MÍNIMO, GARANTÍAS, LIQUIDEZ Y ENDEUDAMIENTO PARA INTERMEDIARIOS DE VALORES Y CORREDORES DE BOLSA DE PRODUCTOS Y QUE DEROGA LA NCG N°18, LA CIRCULAR N° 632 DE 1986 Y LA CIRCULAR N° 695 DE 1987.",https://www.cmfchile.cl/normativa/ncg_562_2026.pdf
2026_2369,2026-02-09,Otro,,"EJECUTA ACUERDO DEL CONSEJO DE LA COMISIÓN PARA EL MERCADO FINANCIERO QUE APRUEBA EMISIÓN DE CIRCULAR QUE MODIFICA CIRCULAR N°1459, QUE IMPARTE NORMAS SOBRE CERTIFICADO SEGURO OBLIGATORIO LEY Nº18.490 y CIRCULAR N°2121, QUE IMPARTE NORMAS SOBRE EL SEGURO OBLIGATORIO DE ACCIDENTES PERSONALES CAUSADOS POR VEHÍCULOS MOTORIZADOS CON MATRÍCULA EXTRANJERA DEL ARTÍCULO 60 DE LA LEY Nº18.290, Y ESTABLECE FORMATO Y CONTENIDO DEL CERTIFICADO DEL SEGURO.",https://www.cmfchile.cl/normativa/cir_2369_2026.pdf
2026_2368,2026-01-30,Otro,,"EJECUTA ACUERDO DEL CONSEJO DE LA COMISIÓN PARA EL MERCADO FINANCIERO QUE APRUEBA LA CIRCULAR QUE ACTUALIZA LA NORMATIVA QUE INDICA, SOBRE PREVENCIÓN DEL LAVADO DE ACTIVOS, FINANCIAMIENTO AL TERRORISMO Y LA NO PROLIFERACIÓN DE ARMAS DE DESTRUCCIÓN MASIVA APLICABLE A BANCOS, COOPERATIVAS Y EMISORES DE TARJETAS DE PAGO NO BANCARIAS EN CONCORDANCIA CON LA CIRCULAR N° 62 DE LA UNIDAD DE ANÁLISIS FINANCIERO, QUE SISTEMATIZA Y ACTUALIZA INSTRUCCIONES A LOS SUJETOS OBLIGADOS.",https://www.cmfchile.cl/normativa/cir_2368_2026.pdf
2025_0557,2025-12-10,Otro,,"EJECUTA ACUERDO DEL CONSEJO DE LA COMISIÓN PARA EL MERCADO FINANCIERO QUE APRUEBA EMISIÓN DE NORMA DE CARÁCTER GENERAL QUE ESTABLECE NORMAS PARA SEGUROS DE CONDOMINIOS DEL ARTÍCULO 43 DE LA LEY N°21.442 Y DE NORMA QUE MODIFICA NORMA DE CARÁCTER GENERAL N°469, QUE REGULA LA CONTRATACIÓN INDIVIDUAL Y COLECTIVA DE SEGUROS ASOCIADOS A CRÉDITOS HIPOTECARIOS DEL ARTÍCULO 40 DEL D.F.L. N°251.",https://www.cmfchile.cl/normativa/ncg_557_2025.pdf
2025_0556,2025-12-10,Otro,,"EJECUTA ACUERDO DEL CONSEJO DE LA COMISIÓN PARA EL MERCADO FINANCIERO QUE APRUEBA EMISIÓN DE NORMA DE CARÁCTER GENERAL QUE ESTABLECE NORMAS PARA SEGUROS DE CONDOMINIOS DEL ARTÍCULO 43 DE LA LEY N°21.442 Y DE NORMA QUE MODIFICA NORMA DE CARÁCTER GENERAL N°469, QUE REGULA LA CONTRATACIÓN INDIVIDUAL Y COLECTIVA DE SEGUROS ASOCIADOS A CRÉDITOS HIPOTECARIOS DEL ARTÍCULO 40 DEL D.F.L. N°251.",https://www.cmfchile.cl/normativa/ncg_556_2025.pdf
2025_0553,2025-11-10,Modificación NCG,,"EJECUTA ACUERDO DEL CONSEJO DE LA COMISIÓN PARA EL MERCADO FINANCIERO QUE APRUEBA LA EMISIÓN DE NORMA DE CARÁCTER GENERAL QUE MODIFICA LA NORMA DE CARÁCTER GENERAL N°243, QUE IMPARTE INSTRUCCIONES RELATIVAS A LA CONSTITUCIÓN DE RESERVAS TÉCNICAS EN EL SEGURO DE INVALIDEZ Y SOBREVIVENCIA DEL D.L. N°3.500, DE 1980.",https://www.cmfchile.cl/normativa/ncg_553_2025.pdf
2025_0550,2025-10-24,Modificación NCG,,EJECUTA ACUERDO DEL CONSEJO DE LA COMISIÓN PARA EL MERCADO FINANCIERO QUE APRUEBA NORMATIVA QUE MODIFICA LA NORMA DE CARÁCTER GENERAL N°182 REFERENTE A LA INSCRIPCIÓN EN EL REGISTRO DE CORREDORES DE BOLSA DE PRODUCTOS.,https://www.cmfchile.cl/normativa/ncg_550_2025.pdf
2025_0549,2025-10-24,Modificación NCG,,EJECUTA ACUERDO DEL CONSEJO DE LA COMISIÓN PARA EL MERCADO FINANCIERO QUE APRUEBA NORMATIVA QUE MODIFICA LA NORMA DE CARÁCTER GENERAL N°16 REFERENTE A LA INSCRIPCIÓN EN EL REGISTRO DE CORREDORES DE BOLSA Y AGENTES DE VALORES.,https://www.cmfchile.cl/normativa/ncg_549_2025.pdf
