clave,fecha,tipo_acuerdo,tema,descripcion_cmf,url
2026_0562,2026-04-20,Nueva Normativa,"ESTABLECE NORMA SOBRE REQUISITOS DE PATRIMONIO MÍNIMO, GARANTÍAS, LIQUIDEZ Y ENDEUDAMIENTO PARA INTERMEDIARIOS DE VALORES Y CORREDORES DE BOLSA DE PRODUCTOS. DEROGA NORMA DE CARACTER GENERAL N°18, CIRCULAR N°632 Y CIRCULAR N°695","EJECUTA ACUERDO DEL CONSEJO DE LA COMISIÓN PARA EL MERCADO FINANCIERO QUE APRUEBA NUEVA NORMATIVA QUE IMPARTE INSTRUCCIONES SOBRE PATRIMONIO MÍNIMO, GARANTÍAS, LIQUIDEZ Y ENDEUDAMIENTO PARA INTERMEDIARIOS DE VALORES Y CORREDORES DE BOLSA DE PRODUCTOS Y QUE DEROGA LA NCG N°18, LA CIRCULAR N° 632 DE 1986 Y LA CIRCULAR N° 695 DE 1987.",https://www.cmfchile.cl/normativa/ncg_562_2026.pdf
2026_2370,2026-04-10,Circular,"Ajustes a los Capítulo 8-4, 8-40, 12- 3, 21-1, 21-6, 21-7 y 21-30 de la Recopilación Actualizada de Normas de Bancos; los Capítulos B- 6 y B-7 del Compendio de Normas Contables de Bancos; los archivos normativos R06 y R07 del Sistema de Riesgos y el Sistema de Tablas del Manual de Sistemas de Información bancos; para promover el mercado de repo y de securitizaciones","EJECUTA ACUERDO DEL CONSEJO DE LA COMISIÓN PARA EL MERCADO FINANCIERO QUE EMITE CIRCULAR QUE AJUSTA LOS CAPÍTULOS 8-4, 8-40, 12-3, 21-1, 21-6, 21-7 Y 21-30 DE LA RECOPILACIÓN ACTUALIZADA DE NORMAS DE BANCOS; LOS CAPÍTULOS   B-6 Y B-7 DEL COMPENDIO DE NORMAS CONTABLES DE BANCOS; LOS ARCHIVOS R06, R07 Y EL SISTEMA TABLAS DEL MANUAL DE SISTEMAS DE INFORMACIÓN DE BANCOS Y MODIFICA LAS NORMAS DE CARÁCTER GENERAL N°303 Y N°451 SOBRE INSCRIPCIÓN DE VALORES Y EL REGISTRO AUTOMÁTICO DE LOS MISMOS, RESPECTIVAMENTE.",https://www.cmfchile.cl/normativa/cir_2370_2026.pdf
2026_0561,2026-04-10,Circular,MODIFICA LAS NORMAS DE CARÁCTER GENERAL N°303 Y N° 451 EN LOS TÉRMINOS QUE INDICA,"EJECUTA ACUERDO DEL CONSEJO DE LA COMISIÓN PARA EL MERCADO FINANCIERO QUE EMITE CIRCULAR QUE AJUSTA LOS CAPÍTULOS 8-4, 8-40, 12-3, 21-1, 21-6, 21-7 Y 21-30 DE LA RECOPILACIÓN ACTUALIZADA DE NORMAS DE BANCOS; LOS CAPÍTULOS   B-6 Y B-7 DEL COMPENDIO DE NORMAS CONTABLES DE BANCOS; LOS ARCHIVOS R06, R07 Y EL SISTEMA TABLAS DEL MANUAL DE SISTEMAS DE INFORMACIÓN DE BANCOS Y MODIFICA LAS NORMAS DE CARÁCTER GENERAL N°303 Y N°451 SOBRE INSCRIPCIÓN DE VALORES Y EL REGISTRO AUTOMÁTICO DE LOS MISMOS, RESPECTIVAMENTE.",https://www.cmfchile.cl/normativa/ncg_561_2026.pdf
2025_0549,2025-10-24,Modificación NCG,,EJECUTA ACUERDO DEL CONSEJO DE LA COMISIÓN PARA EL MERCADO FINANCIERO QUE APRUEBA NORMATIVA QUE MODIFICA LA NORMA DE CARÁCTER GENERAL N°16 REFERENTE A LA INSCRIPCIÓN EN EL REGISTRO DE CORREDORES DE BOLSA Y AGENTES DE VALORES.,https://www.cmfchile.cl/normativa/ncg_549_2025.pdf
2024_0528,2024-12-27,Otro,,"EJECUTA ACUERDO DEL CONSEJO DE LA COMISIÓN PARA EL MERCADO FINANCIERO QUE DEJA SIN EFECTO ACUERDO QUE INDICA Y APRUEBA PROPUESTA NORMATIVA QUE IMPARTE INSTRUCCIONES SOBRE GOBIERNO CORPORATIVO Y GESTIÓN DE RIESGOS PARA INTERMEDIARIOS DE VALORES Y CORREDORES DE BOLSA DE PRODUCTOS, Y DEROGA LA CIRCULAR N°2.054 DE 2011.",https://www.cmfchile.cl/normativa/ncg_528_2024.pdf
2024_0522,2024-11-28,Otro,,EJECUTA ACUERDO DEL CONSEJO DE LA COMISIÓN PARA EL MERCADO FINANCIERO QUE APRUEBA NORMA DE CARÁCTER GENERAL QUE IMPARTE INSTRUCCIONES SOBRE CÁLCULO DE PATRIMONIO DE BOLSAS DE VALORES,https://www.cmfchile.cl/normativa/ncg_522_2024.pdf
2024_0510,2024-05-08,Modificación NCG,"IMPARTE INSTRUCCIONES SOBRE GESTIÓN DE RIESGO OPERACIONAL. DEROGA CIRCULARES N° 1.939 y 2.020, Y LA NORMA DE CARÁCTER GENERAL N° 256. MODIFICA LA NORMA DE CARÁCTER GENERAL N° 480","EJECUTA ACUERDO DEL CONSEJO DE LA COMISIÓN PARA EL MERCADO FINANCIERO QUE APRUEBA NORMATIVA QUE IMPARTE INSTRUCCIONES SOBRE GESTIÓN DE RIESGO OPERACIONAL PARA ADMINISTRADORAS GENERALES DE FONDOS, BOLSAS DE VALORES, BOLSAS DE PRODUCTOS, SOCIEDADES ADMINISTRADORAS DE SISTEMAS DE COMPENSACIÓN Y LIQUIDACIÓN DE INSTRUMENTOS FINANCIEROS Y EMPRESAS DE DEPÓSITO Y CUSTODIA DE VALORES. DEROGA CIRCULARES N°1.939 y 2.020 Y LA NORMA DE CARÁCTER GENERAL N°256. MODIFICA LA NORMA DE CARÁCTER GENERAL N°480.",https://www.cmfchile.cl/normativa/ncg_510_2024.pdf
2024_0509,2024-05-08,Otro,,EJECUTA ACUERDO DEL CONSEJO DE LA COMISIÓN PARA EL MERCADO FINANCIERO QUE APRUEBA NORMATIVA QUE IMPARTE INSTRUCCIONES SOBRE GOBIERNO CORPORATIVO Y GESTIÓN DE RIESGOS PARA EMPRESAS DE DEPÓSITO Y CUSTODIA DE VALORES Y SOCIEDADES ADMINISTRADORAS DE SISTEMAS DE COMPENSACIÓN Y LIQUIDACIÓN DE INSTRUMENTOS FINANCIEROS.,https://www.cmfchile.cl/normativa/ncg_509_2024.pdf
2024_0508,2024-05-08,Modificación NCG,IMPARTE INSTRUCCIONES SOBRE GOBIERNO CORPORATIVO Y GESTIÓN INTEGRAL DE RIESGOS PARA BOLSAS DE VALORES Y BOLSAS DE PRODUCTOS. MODIFICA NORMA DE CARÁCTER GENERAL N°480,EJECUTA ACUERDO DEL CONSEJO DE LA COMISIÓN PARA EL MERCADO FINANCIERO QUE APRUEBA NORMATIVA QUE IMPARTE INSTRUCCIONES SOBRE GOBIERNO CORPORATIVO Y GESTIÓN DE RIESGOS PARA BOLSAS DE VALORES Y BOLSAS DE PRODUCTOS Y MODIFICA LA NORMA DE CARÁCTER GENERAL N°480.,https://www.cmfchile.cl/normativa/ncg_508_2024.pdf
0000_1720,2023-12-05,Otro,,EJECUTA ACUERDO DEL CONSEJO DE LA COMISION PARA EL MERCADO FINANCIERO QUE APRUEBA PROPUESTA NORMATIVA QUE IMPARTE INSTRUCCIONES RELATIVAS AL ENVIO DE INFORMACIÓN SOBRE INSTRUMENTOS DE LA CARTERA PROPIA DE LOS INTERMEDIARIOS DE VALORES. DEROGA CIRCULAR N°1720 DE 2004.,https://www.cmfchile.cl/sitio/aplic/serdoc/ver_sgd.php?s567=79b0ad592c4a7ef10fde76c6ed1736ceVFdwQmVVMTZSWGxOUkZWNlRrUkJOVTVuUFQwPQ==&secuencia=-1&t=1778175439
2022_0480,2022-07-25,Otro,,EJECUTA ACUERDO DEL CONSEJO DE LA COMISIÓN PARA EL MERCADO FINANCIERO QUE APRUEBA NORMA DE CARÁCTER GENERAL QUE REGULA LA INTERCONEXIÓN DE LAS BOLSAS DE VALORES.,https://www.cmfchile.cl/normativa/ncg_480_2022.pdf
2022_2306,2022-02-17,Otro,,EJECUTA ACUERDO DEL CONSEJO DE LA COMISIÓN PARA EL MERCADO FINANCIERO QUE APRUEBA CIRCULAR QUE REQUIERE INFORMACIÓN RESPECTO DE LOS MOVIMIENTOS Y VALORES MANTENIDOS EN LAS EMPRESAS DE DEPÓSITO DE VALORES.,https://www.cmfchile.cl/normativa/cir_2306_2022.pdf
2021_0461,2021-11-12,Otro,,EJECUTA ACUERDO DEL CONSEJO DE LA COMISIÓN PARA EL MERCADO FINANCIERO QUE APRUEBA NORMA DE CARÁCTER GENERAL QUE MODIFICA LA ESTRUCTURA Y CONTENIDO DE LA MEMORIA ANUAL DE LOS EMISORES DE VALORES Y QUE MODIFICA Y DEROGA NORMAS QUE INDICA.,https://www.cmfchile.cl/normativa/ncg_461_2021.pdf
2021_0457,2021-07-19,Otro,,EJECUTA ACUERDO DEL CONSEJO DE LA COMISIÓN PARA EL MERCADO FINANCIERO QUE APRUEBA NORMA DE CARÁCTER GENERAL QUE SIMPLIFICA INSCRIPCIÓN DE VALORES DE OFERTA PÚBLICA.,https://www.cmfchile.cl/normativa/ncg_457_2021.pdf
2021_0452,2021-02-22,Modificación NCG,EXCEPTÚA DE LA OBLIGACIÓN DE INSCRIPCIÓN A DETERMINADAS OFERTAS PÚBLICAS DE VALORES Y MODIFICA LA NORMA DE CARÁCTER GENERAL N°336 DE 2012 EN LOS TÉRMINOS QUE INDICA,EJECUTA ACUERDO DEL CONSEJO DE LA COMISIÓN PARA EL MERCADO FINANCIERO QUE APRUEBA NORMA DE CARÁCTER GENERAL QUE EXCEPTÚA DE LA OBLIGACIÓN DE INSCRIPCIÓN A DETERMINADAS OFERTAS PÚBLICAS DE VALORES Y MODIFICA LA NORMA DE CARÁCTER GENERAL N°336 DE 2012 EN LOS TÉRMINOS QUE INDICA.,https://www.cmfchile.cl/normativa/ncg_452_2021.pdf
