clave;vigencia;sin_fecha;archivos;nota;revisado;norma;fecha_documento;archivos_detectados;fechas_candidatas;pdf
2026_2374;2026-08-17;;;;;Circular N°2.374;2026-08-17;E30;;https://www.cmfchile.cl/normativa/cir_2374_2026.pdf
2026_0569;2026-06-01;;;;;NCG N°569;2026-06-01;I12;1961-10-05 …en el caso de otorgarse en países miembros del Convenio de la Apostilla de la Haya de 5 de octubre de 1961. En el caso de… | 2025-02-19 …FAPI 2.013 que se complementa con el Modelo de atacante14 (especificación final [19/02/2025]), ambos establecido por la Open…;https://www.cmfchile.cl/normativa/ncg_569_2026.pdf
2025_1387;2025-10-02;;;;;Oficio Circular N°1.387;2025-10-02;RDC02 RDC01 RDC40 RDC20 RDC30 RDC10 E04;;https://www.cmfchile.cl/normativa/ofc_1387_2025.pdf
2025_1376;2025-08-01;;;;;Oficio Circular N°1.376;2025-07-29;C70;2025-09-01 …referida al cierre del mes de agosto del presente año y, por lo tanto, enviarse en septiembre de 2025. Sin embargo, en el caso… | 2025-08-01 …de 2025. Sin embargo, en el caso de existir operaciones en los meses de junio, julio y agosto de 2025 asociadas al programa “Apoyo a…;https://www.cmfchile.cl/normativa/ofc_1376_2025.pdf
2025_1375;2025-08-01;;;;;Oficio Circular N°1.375;2025-07-11;C70 D62 E26;2025-09-01 …referida al cierre del mes de agosto del presente año y, por lo tanto, enviarse en septiembre de 2025. Por otro lado, los… | 2025-08-01 …año 2025. Sin embargo, en el caso de existir operaciones en los meses de junio, julio y agosto de 2025 asociadas a los nuevos… | 2022-12-31 …a la actividad económica del deudor registrado ante el Servicio de Impuestos Internos al 31 de diciembre de 2022 consignada en…;https://www.cmfchile.cl/normativa/ofc_1375_2025.pdf
2025_2364;2025-06-26;;;"No declara vigencia; rige desde su publicacion";2026-07-29;Circular N°2.364;2025-06-26;I03;;https://www.cmfchile.cl/normativa/cir_2364_2025.pdf
2024_1340;2024-10-02;;;;;Oficio Circular N°1.340;2024-10-02;P72;;https://www.cmfchile.cl/normativa/ofc_1340_2024.pdf
2024_1332;2024-08-01;;;;;Oficio Circular N°1.332;2024-07-24;C70 D62 E26;2024-09-06 …referida al cierre del mes de agosto del presente año, hasta la fecha límite de 06 de septiembre de 2024. Por otro lado, los… | 2024-09-10 …con las nuevas instrucciones se requerirían ajustar, deberán rectificarse antes del 10 de septiembre de 2024. Como consecuencia… | 2022-12-31 …a la actividad económica del deudor registrado ante el Servicio de Impuestos Internos al 31 de diciembre de 2022 consignada en…;https://www.cmfchile.cl/normativa/ofc_1332_2024.pdf
2024_2347;2025-03-01;;;;;Circular N°2.347;2024-04-24;C44 C49 C50 D43 D10 D27;2025-03-01 …por primera vez la información con referencia al primer trimestre del año 2025 o a marzo de 2025, según corresponda. 7. En la… | 2020-01-01 …hábiles durante el segundo semestre de 2019, pasando a ser de 10 días hábiles a partir de enero de 2020. Código NOMBRE Periodicidad… | 2019-04-04 …Capítulo, respectivamente. (2) El Archivo C49 se enviará por primera vez a partir del 4 de abril de 2019. (3) La nueva versión del… | 2023-07-01 …(4) Los archivos correspondientes a las operaciones efectuadas entre los meses de marzo y julio de 2023 deberán ser emitidos dentro de…;https://www.cmfchile.cl/normativa/cir_2347_2024.pdf
2024_2343;2024-07-01;;;;;Circular N°2.343;2024-02-09;R11;2024-06-01 …archivos correspondientes a los meses del primer semestre del presente año (enero a junio de 2024) serán remitidos de manera… | 2024-07-01 …el noveno día hábil del mes de julio del mismo año. Luego, la información referida al mes de julio de 2024 se remitirá en régimen,…;https://www.cmfchile.cl/normativa/cir_2343_2024.pdf
2023_2336;2024-01-01;;;;;Circular N°2.336;2023-06-20;R13 C40;2023-04-01 …de Normas para Bancos (RAN), dado que sus disposiciones quedaron sin efecto a partir de abril de 2023, de acuerdo con lo establecido… | 2023-12-01 …asociados a los riesgos de tasa de interés y reajustabilidad del libro de banca” hasta diciembre de 2023, quedando sin efecto el…;https://www.cmfchile.cl/normativa/cir_2336_2023.pdf
2023_2335;2023-06-05;;;;;Circular N°2.335;2023-06-05;C81;;https://www.cmfchile.cl/normativa/cir_2335_2023.pdf
2023_2333;2023-09-01;;;;;Circular N°2.333;2023-05-13;D10 D27 R04 R05;2023-09-01 …el tipo de operación de que se trate, en el primer reporte que corresponda remitir el mes de septiembre de 2023.” Tal como lo…;https://www.cmfchile.cl/normativa/cir_2333_2023.pdf
