accion_inicial;n;categoria;ejemplo;claves
IMPARTE INSTRUCCIONES SOBRE;98;;EJECUTA ACUERDO DEL CONSEJO DE LA COMISIÓN PARA EL MERCADO FINANCIERO QUE APRUEBA NORMATIVA QUE IMPARTE INSTRUCCIONES SOBRE GOBIERNO CORPORATIVO Y GESTIÓN DE RIESGOS PARA EMPRESAS ;2024_0509 2022_0485 2018_1040 2016_2216 2016_2197 2015_2180 2014_0826 2014_2138 …
IMPARTE INSTRUCCIONES RELATIVAS;50;;IMPARTE INSTRUCCIONES RELATIVAS A LA MANTENCION DE LA SUSPENSION DE LA INCORPORACION DE NOTAS ESTRUCTURADAS Y CUALQUIER OTRO ACTIVO QUE TENGA COMO SUBYACENTE INSTRUMENTOS ESTRUCTUR;2017_0982 2010_0652 2010_0628 2010_0605 2010_0591 2010_0570 2009_0560 2009_0251 …
MODIFICA CIRCULAR N;36;;EJECUTA ACUERDO DEL CONSEJO DE LA COMISIÓN PARA EL MERCADO FINANCIERO QUE APRUEBA EMISIÓN DE CIRCULAR QUE MODIFICA CIRCULAR N°1459, QUE IMPARTE NORMAS SOBRE CERTIFICADO SEGURO OBLI;2026_2369 2024_2352 2021_2299 2021_2298 2018_2234 2017_2226 2017_2219 2016_2208 …
MODIFICA OFICIO CIRCULAR;25;;MODIFICA OFICIO CIRCULAR Nº 69 DE 05 DE ENERO DE 2001;0000_0000 2016_0916 2012_0720 2011_0692 2008_0468 2008_0440 2005_0324 2005_0312 …
IMPARTE NORMAS SOBRE;25;;IMPARTE NORMAS SOBRE CONTRATACION DE SEGUROS DE RENTAS VITALICIAS DEL D.L. N° 3.500 DE 1980. REMPLAZA NORMA DE CARACTAR GENERAL N° 163 DE 21 DE JUNIO DE 2004;2015_0377 2013_2121 2011_0322 2009_1945 2009_1924 2009_0498 2009_0235 2008_1901 …
APRUEBA NORMA DE;21;;EJECUTA ACUERDO DEL CONSEJO DE LA COMISIÓN PARA EL MERCADO FINANCIERO QUE APRUEBA NORMA DE CARÁCTER GENERAL QUE INCORPORA AL MANUAL DE SISTEMAS DE INFORMACIÓN DE FONDOS NUEVOS ARCH;2025_0551 2024_0523 2024_0522 2024_0516 2024_0505 2024_0501 0000_0014 2022_0489 …
ESTABLECE NORMAS PARA;16;;ESTABLECE NORMAS PARA EL ENVIO DE INFORMACION DE SEGUROS DE INVALIDEZ Y SOBREVIVENCIA.;2013_2095 2012_0341 2010_0301 2008_0211 2007_1826 2006_0197 2005_0189 2005_0186 …
INTRODUCE A;9;;INTRODUCE AJUSTES AL CAPÍTULO C-3 DEL COMPENDIO DE NORMAS CONTABLES PARA BANCOS.;2026_1407 2026_1402 2025_1377 2025_1376 2025_1375 2025_1368 2024_1351 2024_1341 …
MODIFICA LA CIRCULAR N;6;;EJECUTA ACUERDO DEL CONSEJO DE LA COMISIÓN PARA EL MERCADO FINANCIERO QUE APRUEBA LA EMISIÓN DE LA NORMA QUE MODIFICA LA CIRCULAR N°1835 QUE IMPARTE INSTRUCCIONES RELATIVAS A LA FO;2024_2354 2021_2287 2019_2242 2019_2240 2018_2239 2018_2238
APRUEBA EMISION DE;5;;EJECUTA ACUERDO DEL CONSEJO DE LA COMISIÓN PARA EL MERCADO FINANCIERO QUE APRUEBA EMISIÓN DE NORMA DE CARÁCTER GENERAL SOBRE DIRECTOR INDEPENDIENTE Y POLÍTICA DE ELECCIÓN DE DIRECT;2025_0533 2025_0530 2024_2356 2020_0438 2019_0430
REGULA EL REGISTRO;3;;EJECUTA ACUERDO DEL CONSEJO DE LA COMISIÓN PARA EL MERCADO FINANCIERO QUE APRUEBA NORMA QUE REGULA EL REGISTRO, AUTORIZACIÓN Y OBLIGACIONES DE LOS PRESTADORES DE SERVICIOS FINANCIE;2024_0504 2024_0503 2024_0502
MODIFICA EL CAPITULO 18-5;3;;EJECUTA ACUERDO DEL CONSEJO DE LA COMISIÓN PARA EL MERCADO FINANCIERO APRUEBA CIRCULAR QUE MODIFICA EL CAPÍTULO 18-5 DE LA RECOPILACIÓN ACTUALIZADA DE NORMAS DE BANCOS Y LOS ARCHIV;2023_2333 2022_2326 2022_2317
